detected_at,change_type,citing,cited,count_before,count_after
2026-03-07T04:33:27.412587+00:00,Added,827,612,,1
2026-03-07T04:33:27.412587+00:00,Added,827,646,,2
2026-03-07T04:33:27.412587+00:00,Added,827,649,,2
2026-03-07T04:33:27.412587+00:00,Added,827,681,,2
2026-03-07T04:33:27.412587+00:00,Added,827,692,,1
2026-03-07T04:33:27.412587+00:00,Added,827,764,,1
2026-03-07T04:33:27.412587+00:00,Changed,816,11,8,9
2026-03-15T01:07:10.299826+00:00,Added,828,380,,2
2026-03-15T01:07:10.299826+00:00,Added,828,525,,2
2026-03-15T01:07:10.299826+00:00,Changed,820,793,4,5
