citing_group,cited_group,size
0,0.0,82
0,1.0,3
0,4.0,1
0,5.0,2
0,7.0,20
0,11.0,1
0,16.0,1
0,29.0,5
1,0.0,7
1,1.0,60
1,5.0,1
1,7.0,11
1,29.0,3
2,2.0,65
2,5.0,3
2,7.0,1
2,9.0,1
2,10.0,1
2,14.0,1
2,15.0,1
2,16.0,1
2,17.0,3
2,21.0,1
2,28.0,1
2,32.0,1
2,39.0,2
3,3.0,27
3,5.0,2
3,8.0,1
3,10.0,1
3,18.0,1
3,20.0,1
3,25.0,1
3,27.0,2
3,28.0,1
3,30.0,1
3,31.0,2
3,36.0,1
4,4.0,66
4,10.0,1
4,12.0,1
4,18.0,2
5,2.0,2
5,5.0,29
5,7.0,2
5,14.0,1
5,15.0,1
5,16.0,2
5,18.0,1
5,20.0,3
5,26.0,1
5,37.0,2
6,5.0,1
6,6.0,37
6,10.0,1
6,14.0,1
6,30.0,1
7,0.0,5
7,1.0,2
7,5.0,1
7,7.0,53
7,13.0,1
7,16.0,1
7,22.0,2
7,29.0,3
8,2.0,4
8,3.0,1
8,8.0,30
8,15.0,2
8,16.0,1
8,27.0,1
8,28.0,1
8,31.0,1
8,33.0,1
8,35.0,1
8,36.0,2
9,2.0,1
9,3.0,2
9,6.0,1
9,8.0,2
9,9.0,27
9,10.0,1
9,12.0,1
9,14.0,3
9,15.0,1
9,19.0,1
9,23.0,1
9,24.0,2
9,28.0,2
9,29.0,1
9,31.0,1
9,34.0,2
9,35.0,1
10,2.0,3
10,3.0,1
10,5.0,6
10,10.0,42
10,17.0,5
10,19.0,1
10,23.0,1
10,25.0,1
10,30.0,1
10,31.0,1
11,3.0,4
11,5.0,1
11,8.0,2
11,11.0,44
11,16.0,2
11,18.0,1
11,22.0,1
11,30.0,1
11,31.0,7
11,35.0,1
12,12.0,26
12,18.0,1
13,1.0,1
13,6.0,1
13,7.0,2
13,13.0,24
13,16.0,5
13,19.0,3
13,20.0,1
13,21.0,1
13,28.0,1
13,32.0,1
13,36.0,1
13,38.0,1
13,39.0,1
14,12.0,1
14,14.0,48
14,27.0,3
14,28.0,1
15,6.0,2
15,9.0,1
15,15.0,22
15,16.0,4
15,20.0,1
15,21.0,1
15,22.0,1
15,23.0,1
15,28.0,2
15,30.0,1
15,31.0,2
15,33.0,2
15,37.0,2
16,15.0,1
16,16.0,50
16,31.0,1
16,33.0,1
17,2.0,18
17,9.0,1
17,10.0,1
17,17.0,37
17,18.0,1
17,30.0,3
18,1.0,1
18,2.0,8
18,3.0,3
18,4.0,2
18,5.0,5
18,6.0,1
18,9.0,1
18,17.0,3
18,18.0,33
18,28.0,2
18,30.0,2
19,14.0,5
19,19.0,24
19,20.0,2
20,2.0,1
20,3.0,1
20,5.0,5
20,6.0,2
20,14.0,2
20,16.0,2
20,19.0,2
20,20.0,26
20,21.0,3
20,27.0,2
20,32.0,1
20,33.0,1
20,37.0,2
21,5.0,1
21,20.0,1
21,21.0,22
21,30.0,1
21,39.0,1
22,0.0,1
22,8.0,3
22,9.0,1
22,12.0,2
22,15.0,1
22,16.0,1
22,19.0,1
22,22.0,21
22,26.0,1
22,28.0,1
22,29.0,2
22,30.0,1
22,33.0,1
22,35.0,1
22,39.0,1
23,3.0,2
23,5.0,1
23,6.0,1
23,10.0,1
23,17.0,1
23,19.0,1
23,23.0,22
23,26.0,1
23,31.0,1
23,35.0,1
24,2.0,1
24,14.0,1
24,15.0,1
24,24.0,22
25,0.0,1
25,2.0,3
25,3.0,2
25,4.0,2
25,6.0,1
25,10.0,3
25,11.0,2
25,12.0,1
25,17.0,3
25,22.0,1
25,25.0,26
25,29.0,1
25,33.0,1
25,37.0,1
26,2.0,1
26,3.0,1
26,6.0,1
26,9.0,2
26,11.0,2
26,16.0,1
26,19.0,2
26,20.0,1
26,21.0,2
26,26.0,22
26,27.0,1
26,33.0,1
27,3.0,2
27,5.0,2
27,9.0,1
27,10.0,1
27,15.0,1
27,21.0,3
27,25.0,5
27,27.0,25
27,28.0,1
27,31.0,1
27,34.0,1
28,5.0,1
28,14.0,2
28,15.0,1
28,16.0,1
28,18.0,1
28,20.0,1
28,28.0,17
28,30.0,1
29,1.0,2
29,7.0,4
29,29.0,25
29,31.0,2
30,2.0,2
30,8.0,1
30,10.0,1
30,11.0,1
30,17.0,1
30,24.0,1
30,30.0,14
30,31.0,1
31,11.0,3
31,16.0,1
31,18.0,1
31,30.0,1
31,31.0,26
32,5.0,1
32,7.0,1
32,14.0,2
32,16.0,3
32,20.0,1
32,21.0,1
32,24.0,1
32,32.0,11
33,0.0,1
33,5.0,1
33,22.0,1
33,29.0,1
33,33.0,19
33,34.0,1
34,8.0,1
34,34.0,13
35,5.0,1
35,9.0,2
35,11.0,1
35,14.0,4
35,31.0,1
35,35.0,16
36,31.0,1
36,36.0,11
37,9.0,1
37,14.0,4
37,20.0,2
37,37.0,14
38,12.0,1
38,14.0,2
38,27.0,1
38,38.0,8
39,2.0,1
39,5.0,1
39,21.0,1
39,24.0,1
39,27.0,2
39,39.0,9
40,40.0,2
41,41.0,3
42,42.0,5
43,43.0,1
44,44.0,1
45,45.0,1
46,46.0,1
47,47.0,5
